age,weight,activity_level,sugar_preference,diet_label
58,52.2,medium,high,balanced
24,89.0,high,high,high_protein
19,51.1,low,low,balanced
63,87.2,medium,high,low_carb
69,101.5,high,high,high_protein
35,55.1,high,high,high_protein
24,68.3,low,high,balanced
52,53.1,high,high,high_protein
58,85.2,high,low,high_protein
20,88.0,high,low,high_protein
24,69.7,medium,low,balanced
40,58.6,low,low,balanced
56,86.3,medium,high,low_carb
35,109.3,medium,low,balanced
67,95.4,low,high,low_carb
35,49.3,high,low,high_protein
31,87.6,medium,low,balanced
34,54.1,medium,low,balanced
45,103.4,medium,high,low_carb
50,77.1,high,low,balanced
28,96.5,medium,high,low_carb
47,79.4,high,low,high_protein
61,102.5,high,low,high_protein
36,73.3,medium,low,balanced
34,108.2,high,low,high_protein
58,64.4,medium,low,balanced
66,55.5,high,low,balanced
56,66.1,low,low,balanced
69,65.0,low,low,balanced
23,92.6,high,low,high_protein
26,53.3,medium,low,balanced
56,72.5,low,low,balanced
30,91.3,medium,low,balanced
51,74.3,low,high,low_carb
55,59.3,low,low,balanced
20,100.9,low,high,low_carb
31,80.1,medium,low,balanced
33,96.0,high,high,high_protein
45,68.0,medium,low,high_protein
21,71.2,low,low,balanced
30,79.9,low,high,low_carb
22,73.8,high,low,high_protein
23,105.2,high,high,high_protein
31,101.2,high,high,balanced
34,105.2,high,high,high_protein
64,109.7,medium,low,low_calorie
36,59.2,low,low,low_calorie
21,48.3,medium,low,balanced
21,107.5,low,high,low_carb
61,101.0,medium,low,low_calorie
55,83.6,medium,high,balanced
51,65.6,low,low,balanced
34,70.7,medium,high,balanced
66,105.8,low,low,low_calorie
24,49.8,low,high,low_carb
22,102.2,medium,high,low_carb
63,64.7,high,low,balanced
60,98.1,low,low,low_calorie
26,62.2,high,low,high_protein
36,84.3,medium,high,balanced
34,77.9,low,low,balanced
35,47.9,low,high,low_carb
28,93.2,medium,high,high_protein
62,103.8,medium,low,low_calorie
27,72.9,low,high,low_carb
20,103.4,low,high,low_carb
67,81.4,high,low,high_protein
33,101.2,high,low,high_protein
19,56.7,high,low,high_protein
60,101.2,high,high,high_protein
24,69.9,low,low,balanced
47,67.7,high,low,balanced
60,57.6,low,low,balanced
35,67.8,medium,low,balanced
39,106.1,low,low,low_calorie
34,47.5,medium,high,balanced
45,84.4,medium,high,balanced
34,47.9,medium,low,balanced
61,91.8,medium,low,low_calorie
22,106.7,high,low,high_protein
25,91.8,low,high,low_carb
43,90.3,medium,high,low_carb
42,89.0,high,low,high_protein
53,99.2,low,high,low_carb
56,87.6,medium,high,low_carb
48,96.6,high,low,high_protein
36,78.5,medium,high,balanced
66,60.3,low,low,balanced
20,60.9,medium,low,balanced
58,82.4,medium,high,balanced
27,87.6,low,low,high_protein
24,95.6,low,low,low_calorie
47,48.3,low,low,balanced
69,75.2,medium,low,balanced
66,102.9,medium,low,low_calorie
53,74.0,low,low,balanced
66,61.1,medium,low,balanced
58,60.6,medium,low,balanced
39,65.8,medium,high,balanced
62,54.9,low,high,low_carb
47,72.0,low,high,low_carb
55,106.5,low,low,low_calorie
48,45.4,medium,low,balanced
44,80.0,medium,low,balanced
49,59.3,medium,high,balanced
61,96.9,medium,low,low_calorie
57,79.7,high,low,balanced
23,86.8,low,low,balanced
38,58.8,low,low,balanced
66,106.8,medium,low,low_calorie
65,80.1,high,high,high_protein
67,107.2,low,high,low_carb
19,85.4,low,low,high_protein
31,75.2,low,high,low_carb
65,91.7,high,high,high_protein
55,46.7,low,low,low_calorie
43,106.2,low,low,low_calorie
33,51.6,high,low,high_protein
25,96.8,medium,high,low_carb
60,69.1,medium,high,balanced
70,76.9,medium,high,balanced
47,91.0,medium,low,balanced
35,85.0,high,low,high_protein
70,92.5,low,low,low_calorie
23,63.1,medium,low,balanced
60,69.6,low,low,balanced
31,68.1,low,high,low_carb
35,81.1,medium,high,balanced
44,76.8,high,low,balanced
49,74.1,low,high,low_carb
33,64.9,medium,low,balanced
45,109.8,medium,high,low_carb
37,61.3,low,high,low_carb
52,106.8,medium,high,low_carb
35,92.1,high,low,high_protein
24,99.1,low,high,low_carb
63,79.7,low,low,balanced
62,106.4,medium,low,low_calorie
18,82.3,medium,high,balanced
21,61.4,high,high,balanced
22,82.5,medium,high,balanced
37,50.5,low,low,balanced
56,96.4,low,low,low_calorie
46,64.3,medium,high,balanced
21,84.6,medium,low,balanced
31,62.2,low,high,low_carb
28,45.2,medium,low,balanced
32,63.7,low,low,low_carb
34,96.2,medium,low,balanced
45,52.5,low,high,low_carb
27,49.6,low,high,low_carb
54,104.9,medium,low,low_calorie
43,106.3,medium,low,balanced
20,102.8,medium,low,low_carb
61,99.3,medium,low,low_calorie
61,98.4,medium,low,low_calorie
51,87.3,high,high,high_protein
58,97.9,high,low,high_protein
38,88.6,high,high,high_protein
36,88.1,medium,low,high_protein
38,61.4,low,low,balanced
70,109.2,medium,low,low_calorie
30,78.7,medium,low,balanced
21,58.2,medium,low,balanced
62,76.5,low,low,balanced
63,55.3,medium,low,balanced
25,75.0,low,low,balanced
63,64.0,medium,high,balanced
48,60.8,medium,high,balanced
50,93.5,low,high,low_carb
44,67.1,high,high,low_calorie
55,82.7,medium,low,balanced
48,67.4,medium,low,balanced
38,101.5,high,high,high_protein
67,71.7,low,low,balanced
42,70.1,medium,low,balanced
49,107.7,low,low,low_calorie
24,101.8,medium,low,balanced
64,54.4,high,low,low_calorie
39,85.5,medium,high,low_carb
